ข้อมูลคลองในพื้นที่เขต (สนน.และสนข.),,,,,,,,,
เขตคลองเตย,,,,,,,,,
1,คลองคู้หมัน,จากลำบึงกุ่ม,คลองแสนแสบ, 5 - 16,190,-2.00,คันนายาว,,
2,คลองตาเร่ง(คันนายาว),ถนนรามอินทรา ,แยกคลองจรเข้บัว, 4 - 5,"1,400",-2.00,คันนายาว,,
3,คลองบ้านเกาะ,ถนนรามอินทรา ,ลำบึงกุ่ม คลองบางชัน, 4 - 7,"2,650",-2.00,คันนายาว,,
4,คลองลำนุ่น,ลำบึงกุ่ม ,ถนนรามอินทรา, 5 - 6,"3,800",-2.00,คันนายาว,,
5,คลองหกขุด (จรเข้บัว),แยกคลองลำชะล่า,คลองพระยาสุเรนทร์, 5 - 6,"2,100",-2.00,คันนายาว,,
6,คลองโคกบ่าวสาว,คลองบางชัน,หมู่บ้านกมลวรรณ, 5 - 8,"2,500",-2.00,คันนายาว,,
,,,,,"12,640",,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
ลำดับ,ชื่อคลอง,จาก,ถึง,กว้าง(ม.),ยาว (ม.),ระดับ,พื้นที่เขต,,
,,,,,,ขุดลอก,,,
,,,,,,(รทก.),,,
,คู ลำราง ลำกระโดง,,,,,,,,
1,ลำปลายคลองเกร็ด,คลองครุ,คลองหกขุด, 5 - 6,"1,900",-2.00,คันนายาว,,
2,ลำรางข้าง ร.ร.คันนายาว,ลำบึงกุ่ม ,คลองแสนแสบ, 4 - 6,250,-2.00,คันนายาว,,
3,ลำรางข้างชุมชนนภาพิไล,ลำบึงกุ่ม,สุดระยะที่กำหนดให้, 4 - 5,480,-2.00,คันนายาว,,
4,ลำรางข้างถนนวงแหวน,คลองแสนแสบ,ลำบึงกุ่ม, 2 - 3,120,-2.00,คันนายาว,,
5,ลำรางข้างหมู่บ้านชื่นกมล 4,คลองครุ,ถนนวงแหวนรอบนอก, 3 - 4,800,-2.00,คันนายาว,,
6,ลำรางแคลาย,คลองครุ,ลำรางท้ายหมู่บ้านนวธานี, 3 - 4,570,-2.00,คันนายาว,,
7,ลำรางชวดด้วน,ลำบึงกุ่ม,จุดสิ้นสุดใน ม.นวธานี, 3 - 1 5,700,-2.00,คันนายาว,,
8,ลำรางเชื่อมคลองหกขุดแยกคลองคู้บอน,คลองหกขุด,ลำรางแยกคลองคู้บอน, 3 - 5,450,-2.00,คันนายาว,,
9,ลำรางตาบุญ,ลำรางแยกคลองหนองแขม,คลองระหัส, 2 - 4,"2,100",-2.00,คันนายาว,,
10,ลำรางทางกระบือ,ลำบึงกุ่ม,ปลายซอยอมรพันธ์นคร 6, 6 - 7,160,-2.00,คันนายาว,,
11,ลำรางท้ายซอยภู่สุวรรณ,จากลำบึงกุ่ม,คลองแสนแสบ, 5 - 7,200,-2.00,คันนายาว,,
12,ลำรางยายเลิ้ง,คลองบางชัน,สุดระยะที่กำหนดให้, 3 - 4,400,-2.00,คันนายาว,,
13,ลำรางแยกคลองครุ,คลองครุ,ลำบึงกุ่ม, 3 - 5,160,-2.00,คันนายาว,,
