dcode,dname,AREA,population,num_male,num_female,num_school,num_hos,num_comm,num_temple,num_health,canal_count,flood_point_count,floodgate_count,pump_number,pump_ready,total_ready,จำนวนจุดเสี่ยง,จำนวนจุดเฝ้าระวังน้ำท่วม,year,total_rain,max_daily_rain,avg_daily_rain,heavy_rain_days,total_storm_days,max_storm_intensity,rain_load_per_pump,pump_density,canal_density,pop_density,retention_capacity
1004,เขตบางรัก,4012576.0,46112,21788,24324,5,0,16,5,1,10,0,0,8,8,8,0,1,2023,1515.5,67.5,4.221448467966574,2,265,4,189.4375,1.9937317075115838e-06,2.4921646343894796e-06,0.011491869562096768,10
1004,เขตบางรัก,4012576.0,46112,21788,24324,5,0,16,5,1,10,0,0,8,8,8,0,1,2024,532.5,70.5,3.6979166666666665,1,114,4,66.5625,1.9937317075115838e-06,2.4921646343894796e-06,0.011491869562096768,10
1023,เขตหนองแขม,36201384.0,150285,70457,79828,6,1,71,7,1,15,0,0,7,6,7,0,5,2023,1104.5,67.5,3.0766016713091924,2,265,4,157.78571428571428,1.933627730917691e-07,4.143487994823623e-07,0.004151360622013788,15
1023,เขตหนองแขม,36201384.0,150285,70457,79828,6,1,71,7,1,15,0,0,7,6,7,0,5,2024,461.0,43.0,3.201388888888889,0,114,4,65.85714285714286,1.933627730917691e-07,4.143487994823623e-07,0.004151360622013788,15
1028,เขตสาทร,7259143.0,85048,40560,44488,2,0,25,3,1,14,1,0,4,4,4,1,10,2023,1513.0,86.0,4.2144846796657385,3,265,4,378.25,5.510292330651153e-07,1.9286023157279034e-06,0.011715983553430481,14
1028,เขตสาทร,7259143.0,85048,40560,44488,2,0,25,3,1,14,1,0,4,4,4,1,10,2024,501.5,66.5,3.482638888888889,1,114,4,125.375,5.510292330651153e-07,1.9286023157279034e-06,0.011715983553430481,14
1012,เขตยานนาวา,12504782.0,81529,38959,42570,6,0,20,9,2,22,0,0,1,1,1,1,1,2023,1514.5,81.0,4.218662952646239,4,265,4,1514.5,7.996940690369492e-08,1.7593269518812883e-06,0.006519825775451344,22
1012,เขตยานนาวา,12504782.0,81529,38959,42570,6,0,20,9,2,22,0,0,1,1,1,1,1,2024,518.5,46.5,3.6006944444444446,0,114,4,518.5,7.996940690369492e-08,1.7593269518812883e-06,0.006519825775451344,22
1035,เขตจอมทอง,23167158.0,157970,75840,82130,11,0,53,16,1,52,0,1,12,12,12,1,1,2023,1360.0,92.5,3.788300835654596,1,265,4,113.33333333333333,5.179746259769973e-07,2.2445567125669884e-06,0.006818704305465522,53
1035,เขตจอมทอง,23167158.0,157970,75840,82130,11,0,53,16,1,52,0,1,12,12,12,1,1,2024,618.0,61.0,4.291666666666667,1,114,4,51.5,5.179746259769973e-07,2.2445567125669884e-06,0.006818704305465522,53
1031,เขตบางคอแหลม,8312167.0,94877,45548,49329,7,1,29,11,3,41,0,8,1,0,1,3,3,2023,1455.5,92.5,4.054317548746518,2,265,4,1455.5,1.2030557133897816e-07,4.932528424898104e-06,0.01141423169192823,49
1031,เขตบางคอแหลม,8312167.0,94877,45548,49329,7,1,29,11,3,41,0,8,1,0,1,3,3,2024,465.5,49.5,3.232638888888889,0,114,4,465.5,1.2030557133897816e-07,4.932528424898104e-06,0.01141423169192823,49
1009,เขตพระโขนง,13578695.0,93461,43142,50319,4,0,45,4,2,31,0,0,8,6,4,1,3,2023,1784.5,156.5,4.97075208913649,6,265,4,223.0625,5.891582364873797e-07,2.2829881663885963e-06,0.006882914742543374,31
1009,เขตพระโขนง,13578695.0,93461,43142,50319,4,0,45,4,2,31,0,0,8,6,4,1,3,2024,584.0,111.5,4.055555555555555,1,114,4,73.0,5.891582364873797e-07,2.2829881663885963e-06,0.006882914742543374,31
1024,เขตราษฏร์บูรณะ,12333130.0,86643,41663,44980,6,0,28,7,2,27,0,1,14,14,14,1,1,2023,1306.0,92.5,3.637883008356546,2,265,4,93.28571428571429,1.1351538498337406e-06,2.189225281822214e-06,0.007025223929367485,28
1024,เขตราษฏร์บูรณะ,12333130.0,86643,41663,44980,6,0,28,7,2,27,0,1,14,14,14,1,1,2024,517.5,57.0,3.59375,0,114,4,36.964285714285715,1.1351538498337406e-06,2.189225281822214e-06,0.007025223929367485,28
1050,เขตบางบอน,35857236.0,105161,50478,54683,9,0,12,3,1,22,1,0,19,18,19,2,4,2023,1147.5,79.5,3.1963788300835656,2,265,4,60.39473684210526,5.298791016686283e-07,6.135442229847275e-07,0.00293276927424077,22
1050,เขตบางบอน,35857236.0,105161,50478,54683,9,0,12,3,1,22,1,0,19,18,19,2,4,2024,505.0,72.5,3.5069444444444446,1,114,4,26.57894736842105,5.298791016686283e-07,6.135442229847275e-07,0.00293276927424077,22
1047,เขตบางนา,18947526.0,95855,45248,50607,7,0,39,4,1,7,0,0,9,9,9,0,16,2023,1796.5,177.0,5.004178272980502,5,265,4,199.61111111111111,4.7499604961618737e-07,3.694413719237013e-07,0.005058971815106627,7
1047,เขตบางนา,18947526.0,95855,45248,50607,7,0,39,4,1,7,0,0,9,9,9,0,16,2024,701.0,73.5,4.868055555555555,3,114,4,77.88888888888889,4.7499604961618737e-07,3.694413719237013e-07,0.005058971815106627,7
1021,เขตบางขุนเทียน,122207808.0,165693,78811,86882,16,0,49,15,1,118,1,12,19,19,19,6,5,2023,1616.0,123.0,4.5013927576601676,1,265,4,85.05263157894737,1.554728810781059e-07,9.65568419327184e-07,0.0013558298991828738,130
1021,เขตบางขุนเทียน,122207808.0,165693,78811,86882,16,0,49,15,1,118,1,12,19,19,19,6,5,2024,631.0,59.0,4.381944444444445,0,114,4,33.21052631578947,1.554728810781059e-07,9.65568419327184e-07,0.0013558298991828738,130
1036,เขตดอนเมือง,36691444.0,166635,83065,83570,6,0,92,8,1,13,1,1,14,12,14,1,1,2023,820.5,42.0,2.285515320334262,0,265,4,58.607142857142854,3.815603441499877e-07,3.5430603385356e-07,0.004541521996245228,14
1036,เขตดอนเมือง,36691444.0,166635,83065,83570,6,0,92,8,1,13,1,1,14,12,14,1,1,2024,312.0,33.5,2.1666666666666665,0,114,4,22.285714285714285,3.815603441499877e-07,3.5430603385356e-07,0.004541521996245228,14
1003,เขตหนองจอก,240448192.0,157224,76681,80543,37,1,92,17,1,98,0,4,13,7,12,15,1,2023,2564.0,97.5,7.142061281337047,5,265,4,197.23076923076923,5.4065700772663745e-08,4.075722058246959e-07,0.0006538789029447142,102
1003,เขตหนองจอก,240448192.0,157224,76681,80543,37,1,92,17,1,98,0,4,13,7,12,15,1,2024,1228.0,90.5,8.527777777777779,5,114,4,94.46153846153847,5.4065700772663745e-08,4.075722058246959e-07,0.0006538789029447142,102
1042,เขตสายไหม,43612880.0,188163,88764,99399,9,0,71,8,1,30,0,3,16,15,16,14,1,2023,1868.0,89.0,5.203342618384401,4,265,4,116.75,3.6686410069685833e-07,6.878701888066094e-07,0.004314390611213935,33
1042,เขตสายไหม,43612880.0,188163,88764,99399,9,0,71,8,1,30,0,3,16,15,16,14,1,2024,867.0,127.5,6.020833333333333,3,114,4,54.1875,3.6686410069685833e-07,6.878701888066094e-07,0.004314390611213935,33
1046,เขตคลองสามวา,120176920.0,169729,80701,89028,18,0,81,10,1,77,0,5,20,12,20,8,4,2023,1705.5,77.0,4.750696378830083,4,265,4,85.275,1.6642130618757746e-07,6.407220288221732e-07,0.0014123260938955667,82
1046,เขตคลองสามวา,120176920.0,169729,80701,89028,18,0,81,10,1,77,0,5,20,12,20,8,4,2024,697.5,60.5,4.84375,1,114,4,34.875,1.6642130618757746e-07,6.407220288221732e-07,0.0014123260938955667,82
1041,เขตหลักสี่,22669208.0,109858,52596,57262,6,0,78,1,1,16,1,0,15,5,13,1,5,2023,1465.5,93.5,4.082172701949861,3,265,4,97.7,6.616905186983153e-07,7.058032199448697e-07,0.004846133133543968,16
1041,เขตหลักสี่,22669208.0,109858,52596,57262,6,0,78,1,1,16,1,0,15,5,13,1,5,2024,570.0,63.0,3.9583333333333335,1,114,4,38.0,6.616905186983153e-07,7.058032199448697e-07,0.004846133133543968,16
1005,เขตบางเขน,40959096.0,189687,90854,98833,5,0,75,4,0,37,0,0,19,16,19,3,10,2023,1096.0,84.0,3.052924791086351,2,265,4,57.68421052631579,4.638774254197407e-07,9.033402495016003e-07,0.00463113248397865,37
1005,เขตบางเขน,40959096.0,189687,90854,98833,5,0,75,4,0,37,0,0,19,16,19,3,10,2024,427.0,62.5,2.9652777777777777,1,114,4,22.473684210526315,4.638774254197407e-07,9.033402495016003e-07,0.00463113248397865,37
1030,เขตจตุจักร,32656716.0,160853,75637,85216,7,0,41,2,1,14,1,0,15,15,15,4,5,2023,1839.5,94.5,5.123955431754875,4,265,4,122.63333333333334,4.593235890589856e-07,4.2870201645505323e-07,0.004925571818060334,14
1030,เขตจตุจักร,32656716.0,160853,75637,85216,7,0,41,2,1,14,1,0,15,15,15,4,5,2024,708.5,87.5,4.920138888888889,3,114,4,47.233333333333334,4.593235890589856e-07,4.2870201645505323e-07,0.004925571818060334,14
1043,เขตคันนายาว,25380514.0,88471,41238,47233,2,0,41,2,0,32,0,2,16,10,15,3,2,2023,961.0,69.0,2.6768802228412256,2,265,4,60.0625,6.30404884629208e-07,1.260809769258416e-06,0.0034857844092519167,34
1043,เขตคันนายาว,25380514.0,88471,41238,47233,2,0,41,2,0,32,0,2,16,10,15,3,2,2024,458.0,50.0,3.1805555555555554,0,114,4,28.625,6.30404884629208e-07,1.260809769258416e-06,0.0034857844092519167,34
1010,เขตมีนบุรี,61120416.0,137295,65039,72256,13,0,62,6,1,34,1,2,31,16,31,2,3,2023,1723.5,62.5,4.8008356545961,1,265,4,55.596774193548384,5.071955007636074e-07,5.562789363213758e-07,0.002246303428301273,36
1010,เขตมีนบุรี,61120416.0,137295,65039,72256,13,0,62,6,1,34,1,2,31,16,31,2,3,2024,804.5,84.0,5.586805555555555,1,114,4,25.951612903225808,5.071955007636074e-07,5.562789363213758e-07,0.002246303428301273,36
1038,เขตลาดพร้าว,21266434.0,122152,55721,66431,6,0,34,4,1,12,0,0,23,23,23,7,13,2023,857.5,63.0,2.3885793871866294,1,265,4,37.28260869565217,1.081516534459891e-06,5.642694962399432e-07,0.005743887292058462,12
1038,เขตลาดพร้าว,21266434.0,122152,55721,66431,6,0,34,4,1,12,0,0,23,23,23,7,13,2024,309.0,47.5,2.1458333333333335,0,114,4,13.434782608695652,1.081516534459891e-06,5.642694962399432e-07,0.005743887292058462,12
1029,เขตบางซื่อ,12885789.0,132169,62623,69546,7,0,49,9,2,30,0,2,13,9,13,10,1,2023,1850.0,75.5,5.153203342618385,5,265,4,142.30769230769232,1.008863329983131e-06,2.328146146114918e-06,0.010256958266195418,32
1029,เขตบางซื่อ,12885789.0,132169,62623,69546,7,0,49,9,2,30,0,2,13,9,13,10,1,2024,513.5,67.0,3.5659722222222223,1,114,4,39.5,1.008863329983131e-06,2.328146146114918e-06,0.010256958266195418,32
1027,เขตบึงกุ่ม,23404956.0,145795,67066,78729,8,0,38,5,1,20,0,1,16,15,15,4,4,2023,972.5,62.5,2.7089136490250696,2,265,4,60.78125,6.836158974193329e-07,8.545198717741661e-07,0.006229236235265728,21
1027,เขตบึงกุ่ม,23404956.0,145795,67066,78729,8,0,38,5,1,20,0,1,16,15,15,4,4,2024,429.5,38.5,2.982638888888889,0,114,4,26.84375,6.836158974193329e-07,8.545198717741661e-07,0.006229236235265728,21
1006,เขตบางกะปิ,27587404.0,148491,67729,80762,11,0,28,5,1,34,2,0,20,17,20,7,4,2023,1266.5,86.5,3.5278551532033426,3,265,4,63.325,7.249685399902071e-07,1.232446517983352e-06,0.0053825651735842925,34
1006,เขตบางกะปิ,27587404.0,148491,67729,80762,11,0,28,5,1,34,2,0,20,17,20,7,4,2024,433.0,53.5,3.0069444444444446,0,114,4,21.65,7.249685399902071e-07,1.232446517983352e-06,0.0053825651735842925,34
1049,เขตทุ่งครุ,32950616.0,116523,54909,61614,8,0,30,4,2,43,1,0,19,19,19,5,5,2023,1287.5,78.0,3.586350974930362,2,265,4,67.76315789473684,5.766204795685762e-07,1.3049831906025672e-06,0.0035362920074089054,43
1049,เขตทุ่งครุ,32950616.0,116523,54909,61614,8,0,30,4,2,43,1,0,19,19,19,5,5,2024,605.0,73.5,4.201388888888889,1,114,4,31.842105263157894,5.766204795685762e-07,1.3049831906025672e-06,0.0035362920074089054,43
