dcode,dname,เขต,รหัสสถานี,สถานี,วัน-เวลา,ฝน 5 นาที,ฝน 15 นาที,ฝน 30 นาที,ฝน 1 ชม.,ฝน 3 ชม.,ฝน 6 ชม.,ฝน 12 ชม.,ฝน 24 ชม.,date_object,season,active_storms_count,max_vmax_all_storms,min_mlsp_all_storms,active_storm_names
1022,เขตภาษีเจริญ,ภาษีเจริญ,RF.PSC.01,สนข.ภาษีเจริญ,02/01/2566 00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023-01-02,Winter,0,0.0,,[]
1010,เขตมีนบุรี,มีนบุรี,RF.MBR.01,สนข.มีนบุรี,02/01/2566 00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023-01-02,Winter,0,0.0,,[]
1012,เขตยานนาวา,ยานนาวา,RF.YNW.01,สนข.ยานนาวา,02/01/2566 00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023-01-02,Winter,0,0.0,,[]
1037,เขตราชเทวี,ราชเทวี,RF.RTW.01,สนข.ราชเทวี,02/01/2566 00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023-01-02,Winter,0,0.0,,[]
1024,เขตราษฏร์บูรณะ,ราษฏร์บูรณะ,RF.RBN.01,สนข.ราษฎร์บูรณะ,02/01/2566 00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023-01-02,Winter,0,0.0,,[]
1011,เขตลาดกระบัง,ลาดกระบัง,RF.LKB.02,ปตร.คลองประเวศฯ-ลาดกระบัง,02/01/2566 00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023-01-02,Winter,0,0.0,,[]
1038,เขตลาดพร้าว,ลาดพร้าว,RF.LPW.01,สนข.ลาดพร้าว,02/01/2566 00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023-01-02,Winter,0,0.0,,[]
1045,เขตวังทองหลาง,วังทองหลาง,RF.WTL.01,สนข.วังทองหลาง,02/01/2566 00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023-01-02,Winter,0,0.0,,[]
1039,เขตวัฒนา,วัฒนา,RF.WTN.01,สนข.วัฒนา,02/01/2566 00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023-01-02,Winter,0,0.0,,[]
1034,เขตสวนหลวง,สวนหลวง,RF.SLG.01,สนข.สวนหลวง,02/01/2566 00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023-01-02,Winter,0,0.0,,[]
1044,เขตสะพานสูง,สะพานสูง,RF.SPS.01,สนข.สะพานสูง,02/01/2566 00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023-01-02,Winter,0,0.0,,[]
1013,เขตสัมพันธวงศ์,สัมพันธวงศ์,RF.SPW.01,ท่าน้ำสวัสดี,02/01/2566 00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023-01-02,Winter,0,0.0,,[]
1028,เขตสาทร,สาทร,RF.STN.01,สนข.สาทร,02/01/2566 00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023-01-02,Winter,0,0.0,,[]
1042,เขตสายไหม,สายไหม,RF.SMI.01,สนข.สายไหม,02/01/2566 00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023-01-02,Winter,0,0.0,,[]
1023,เขตหนองแขม,หนองแขม,RF.NKM.01,สนข.หนองแขม,02/01/2566 00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023-01-02,Winter,0,0.0,,[]
1003,เขตหนองจอก,หนองจอก,RF.NJK.01,สนข.หนองจอก,02/01/2566 00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023-01-02,Winter,0,0.0,,[]
1041,เขตหลักสี่,หลักสี่,RF.LSI.01,สนข.หลักสี่,02/01/2566 00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023-01-02,Winter,0,0.0,,[]
1017,เขตห้วยขวาง,ห้วยขวาง,RF.HKG.01,สนข.ห้วยขวาง,02/01/2566 00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023-01-02,Winter,0,0.0,,[]
